"","x"
"1","BTC-IOTA"
"2","BTC-TTC"
"3","USD-LTC"
"4","BTC-MFT"
"5","USD-DCR"
"6","BTC-FNB"
"7","BTC-GNT"
"8","BTC-VITE"
"9","USDT-PMA"
"10","BTC-CND"
"11","BTC-TUDA"
"12","BTC-STORJ"
"13","USDT-BCH"
"14","USD-ATOM"
"15","BTC-SIB"
"16","BTC-MOF"
"17","BTC-UBQ"
"18","BTC-CRW"
"19","BTC-PINK"
"20","ETH-EOS"
"21","BTC-FLO"
"22","BTC-TEMCO"
"23","BTC-MUE"
"24","BTC-LAMB"
"25","USDT-LTC"
"26","BTC-VIB"
"27","ETH-OMG"
"28","USDT-BTC"
"29","ETH-MANA"
"30","BTC-NMR"
"31","USDT-EOS"
"32","BTC-XDN"
"33","BTC-PLA"
"34","USDT-GRIN"
"35","USD-PAX"
"36","USD-ZEC"
"37","USD-LINK"
"38","USD-DAI"
"39","BTC-FTC"
"40","BTC-RFR"
"41","USD-SC"
"42","ETH-FX"
"43","USDT-XRP"
"44","ETH-MCO"
"45","BTC-XLM"
"46","BTC-SNT"
"47","BTC-GRIN"
"48","BTC-APIX"
"49","BTC-MTL"
"50","BTC-GEO"
"51","USD-KMD"
"52","BTC-DNT"
"53","BTC-DCT"
"54","BTC-NKN"
"55","USD-BAT"
"56","BTC-XVG"
"57","BTC-MORE"
"58","USD-BCH"
"59","BTC-ART"
"60","USD-ZEN"
"61","BTC-FRSP"
"62","ETH-BNT"
"63","BTC-HBAR"
"64","BTC-AEON"
"65","BTC-FSN"
"66","BTC-SRN"
"67","BTC-VDX"
"68","USD-ZRX"
"69","BTC-ELAMA"
"70","BTC-IHT"
"71","BTC-RLC"
"72","USDT-ADA"
"73","USD-HBAR"
"74","BTC-POWR"
"75","BTC-NEO"
"76","BTC-VET"
"77","USDT-IRIS"
"78","BTC-XST"
"79","USDT-TUSD"
"80","BTC-NPXS"
"81","BTC-LUNA"
"82","USD-BTC"
"83","ETH-VDX"
"84","BTC-MED"
"85","USDT-LINK"
"86","BTC-PXL"
"87","USDT-XMR"
"88","BTC-WAXP"
"89","BTC-MET"
"90","ETH-XMR"
"91","BTC-LINK"
"92","BTC-MEME"
"93","BTC-PLG"
"94","BTC-URAC"
"95","USD-USDS"
"96","BTC-SLS"
"97","ETH-ANT"
"98","BTC-EDG"
"99","USD-RVN"
"100","BTC-TUSD"
"101","BTC-ABYSS"
"102","BTC-BLK"
"103","USD-WAXP"
"104","USDT-WICC"
"105","BTC-LOOM"
"106","ETH-DMT"
"107","USD-XRP"
"108","BTC-DMT"
"109","ETH-LTC"
"110","BTC-DAI"
"111","ETH-GNT"
"112","BTC-ONT"
"113","ETH-GNO"
"114","ETH-STORM"
"115","BTC-VRA"
"116","BTC-VBK"
"117","BTC-WICC"
"118","BTC-ETC"
"119","BTC-DGB"
"120","BTC-OST"
"121","USD-ETH"
"122","USDT-WAXP"
"123","USDT-ZEC"
"124","USDT-MOF"
"125","BTC-MAID"
"126","BTC-CRO"
"127","BTC-ZRX"
"128","ETH-CVC"
"129","BTC-SIX"
"130","BTC-HXRO"
"131","BTC-RADS"
"132","BTC-ZEC"
"133","BTC-APM"
"134","USDT-OCEAN"
"135","BTC-PAL"
"136","BTC-MOC"
"137","BTC-CURE"
"138","BTC-EXP"
"139","BTC-BURST"
"140","BTC-EDR"
"141","BTC-TRX"
"142","ETH-STRAT"
"143","USD-DGB"
"144","BTC-ADX"
"145","BTC-CTC"
"146","ETH-QTUM"
"147","USD-XTZ"
"148","BTC-XEL"
"149","ETH-DAI"
"150","BTC-UPT"
"151","BTC-ANKR"
"152","USDT-OMG"
"153","BTC-BNT"
"154","BTC-SXP"
"155","USD-TUSD"
"156","BTC-RVN"
"157","ETH-XEM"
"158","ETH-REP"
"159","BTC-SOLVE"
"160","BTC-XHV"
"161","ETH-XRP"
"162","USDT-DGB"
"163","BTC-HYDRO"
"164","USDT-ONT"
"165","BTC-EMC2"
"166","BTC-ANT"
"167","USD-BSV"
"168","USD-ADA"
"169","ETH-ZRX"
"170","BTC-ARDR"
"171","ETH-DGB"
"172","BTC-IRIS"
"173","USDT-HBAR"
"174","BTC-NLG"
"175","BTC-XTZ"
"176","ETH-ATOM"
"177","BTC-IOST"
"178","BTC-QRL"
"179","BTC-HYC"
"180","BTC-AKRO"
"181","BTC-CVT"
"182","BTC-SPND"
"183","BTC-TUBE"
"184","BTC-BTT"
"185","USDT-DCR"
"186","BTC-PMA"
"187","ETH-TUSD"
"188","BTC-NXT"
"189","BTC-HIVE"
"190","BTC-ION"
"191","BTC-LTC"
"192","BTC-ZEN"
"193","ETH-ENG"
"194","USD-EOS"
"195","BTC-CPC"
"196","BTC-OMG"
"197","BTC-EXCL"
"198","USDT-CRO"
"199","ETH-XLM"
"200","BTC-CKB"
"201","BTC-GBYTE"
"202","BTC-HBD"
"203","ETH-BAT"
"204","BTC-EOS"
"205","BTC-MONA"
"206","BTC-ZIL"
"207","ETH-SRN"
"208","BTC-SPC"
"209","USDT-BTT"
"210","BTC-BLTV"
"211","BTC-BTM"
"212","BTC-ENJ"
"213","BTC-XMR"
"214","BTC-MER"
"215","BTC-STC"
"216","BTC-RCN"
"217","ETH-UKG"
"218","BTC-GO"
"219","BTC-TSHP"
"220","BTC-STORM"
"221","USDT-DOGE"
"222","BTC-XSR"
"223","BTC-PPC"
"224","BTC-INCNT"
"225","BTC-STEEM"
"226","ETH-TRX"
"227","ETH-WAVES"
"228","BTC-ELF"
"229","USDT-NMR"
"230","BTC-FXC"
"231","BTC-POT"
"232","BTC-PTON"
"233","ETH-DASH"
"234","BTC-BKX"
"235","BTC-ADA"
"236","BTC-BLOCK"
"237","BTC-PAX"
"238","BTC-COSM"
"239","BTC-XTP"
"240","USDT-VDX"
"241","BTC-SBD"
"242","BTC-GAME"
"243","BTC-VIA"
"244","ETH-ADX"
"245","BTC-BAT"
"246","USDT-ZRX"
"247","BTC-REP"
"248","BTC-STRAT"
"249","ETH-ADA"
"250","BTC-HMQ"
"251","BTC-CVC"
"252","BTC-MANA"
"253","BTC-ABBC"
"254","BTC-PROM"
"255","BTC-META"
"256","BTC-TRAC"
"257","BTC-PIVX"
"258","BTC-DUSK"
"259","ETH-SC"
"260","USDT-VET"
"261","BTC-DRGN"
"262","BTC-ADT"
"263","BTC-FLETA"
"264","USDT-XVG"
"265","BTC-PAY"
"266","BTC-VTC"
"267","BTC-BTU"
"268","BTC-WAVES"
"269","BTC-UPUSD"
"270","USD-ETC"
"271","ETH-SOLVE"
"272","BTC-SPIN"
"273","BTC-SC"
"274","USDT-ENJ"
"275","ETH-NEO"
"276","BTC-XMY"
"277","BTC-XEM"
"278","BTC-OCEAN"
"279","BTC-BSV"
"280","BTC-BOA"
"281","BTC-CMCT"
"282","ETH-SNT"
"283","BTC-PART"
"284","BTC-VANY"
"285","USDT-NPXS"
"286","BTC-ARK"
"287","BTC-ORBS"
"288","ETH-LINK"
"289","USDT-BAT"
"290","BTC-PTOY"
"291","USDT-SC"
"292","BTC-BLOC"
"293","BTC-WGP"
"294","BTC-GNO"
"295","BTC-XZC"
"296","USDT-XTZ"
"297","BTC-GTO"
"298","BTC-LBC"
"299","ETH-BCH"
"300","BTC-NXS"
"301","USDT-NEO"
"302","BTC-QNT"
"303","BTC-PI"
"304","ETH-ZEC"
"305","USDT-DAI"
"306","USDT-ETC"
"307","BTC-CHR"
"308","ETH-ANKR"
"309","BTC-CPT"
"310","BTC-BORA"
"311","BTC-NLC2"
"312","BTC-XRP"
"313","USDT-TRX"
"314","BTC-GUP"
"315","BTC-STPT"
"316","BTC-DTA"
"317","BTC-LRC"
"318","BTC-MRPH"
"319","USDT-RVN"
"320","BTC-SPHR"
"321","BTC-BTS"
"322","USDT-DASH"
"323","BTC-LSK"
"324","ETH-POWR"
"325","USDT-BSV"
"326","BTC-IGNIS"
"327","BTC-IOTX"
"328","BTC-VRC"
"329","BTC-AID"
"330","BTC-LBA"
"331","USDT-ETH"
"332","BTC-IOC"
"333","BTC-BWX"
"334","BTC-ONG"
"335","BTC-FX"
"336","ETH-NPXS"
"337","ETH-BSV"
"338","BTC-OK"
"339","USDT-XLM"
"340","BTC-BFT"
"341","BTC-BCH"
"342","BTC-ATOM"
"343","ETH-VIB"
"344","BTC-CTXC"
"345","USD-USDT"
"346","BTC-SYS"
"347","BTC-UPEUR"
"348","BTC-DASH"
"349","BTC-DENT"
"350","ETH-WAXP"
"351","BTC-VEE"
"352","BTC-HEDG"
"353","ETH-XTZ"
"354","BTC-RDD"
"355","BTC-FCT"
"356","BTC-QTUM"
"357","BTC-UPP"
"358","ETH-NMR"
"359","BTC-ETH"
"360","USD-DASH"
"361","BTC-DCR"
"362","USD-TRX"
"363","BTC-JNT"
"364","BTC-ENG"
"365","BTC-USDS"
"366","BTC-MCO"
"367","BTC-1ST"
"368","ETH-HBAR"
"369","ETH-ETC"
"370","BTC-UKG"
"371","BTC-GRS"
"372","BTC-KMD"
"373","BTC-UTK"
"374","BTC-DOGE"
"375","USDT-CKB"
"376","ETH-PAY"
"377","USDT-ATOM"
"378","BTC-HDAC"
"379","BTC-NAV"
